"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";Peso;Alto;Ancho;Profundidad;Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca
greener-blue;"Greener Blue";Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;0;C5-001;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"verde, azul, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
orangine;Orangine;Collares;;;;;;;687.50;;0.30;0.00;0.00;0.00;0;C5-005;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"naranja, negro, crema, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
queeny;Queeny;Collares;;;;;;;687.50;;0.30;0.00;0.00;0.00;0;C5-008;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"verde, azul, blanco, negro, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
rossigrey;Rossigrey;Collares;;;;;;;687.50;;0.30;0.00;0.00;0.00;0;C5-009;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"gris, rosa, lila, azul, negro, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
argolla-dona-11;"Argolla Dona 11";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argollas-dona-22;"Argollas Dona 22";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas&nbsp;de vidrio descontar $100 de las argollas de&nbsp;plata.</div></div>";;;;
argolla-dona-12;"Argolla Dona 12";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-23;"Argolla Dona 23";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas&nbsp;de vidrio descontar $100 de las argollas de&nbsp;plata.</div></div>";;;;
argolla-dona-13;"Argolla Dona 13";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-24;"Argolla Dona 24";;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas&nbsp;de vidrio descontar&nbsp;$100 de las argollas de&nbsp;plata.</div></div>";;;;
argolla-dona-14;"Argolla Dona 14";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-15;"Argolla Dona 15";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-16;"Argolla Dona 16";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-17;"Argolla Dona 17";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-07;"Argolla Dona 07";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;0;AA-007;;SI;NO;"<p>Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"Donas de vidrio, argolla, plata, Glassbeads, negro, plateado";;;
argolla-dona-18;"Argolla Dona 18";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-19;"Argolla Dona 19";;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-09;"Argolla Dona 09";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.";;;;
argolla-dona-20;"Argolla Dona 20";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-10;"Argolla Dona 10";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
argolla-dona-21;"Argolla Dona 21";Aros;;;;;;;350.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;"Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t?cnica de lampwork (vidrio trabajado con soplete).<br><br>Materiales: Vidrio y plata 925.<div><br><div>Se pueden adquirir solamente las donas de vidrio descontar $100 de las argollas de plata.</div></div>";;;;
combi-collar-de-vidrio-pieza-unica;"Combi - Collar de vidrio - Pieza única.";Collares;;;;;;;400.00;;0.10;0.00;0.00;0.00;0;4;;SI;NO;"Collar de 3 cuentas de vidrio hecho con la milenaria técnica de lampwork, también conocida como GlassBeads o perlas de Murano. (vidrio trabajado con soplete)<br><br>
Esta pieza fue diseñada y creada artesanalmente a partir de varillas de vidrio de diferentes colores, con soplete y mucho amor, por Marilina Rozenberg. <br><br>
Evitá exponer tus accesorios a líquidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal.<br>
Ciertos metales pueden desgastarse debido al contacto con químicos como el agua con cloro, o el agua de mar, la transpiración, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, después de haber tenido contacto con estas sustancias.
<br><br>
Materiales: vidrio, tanza con alma de acero y fornituras.";"collar de vidrio, collar, lampwork, accesorios, Joyas de vidrio, Glassbeads, azul, verde, Accesorios de vidrio";;;
red-art;"Red Art";Collares;;;;;;;375.00;;0.00;0.00;0.00;0.00;1;CL1-003;;SI;NO;"<p>Collar de 1 cuenta de vidrio maciza, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + cord&oacute;n de gamuza + fornituras. Regulable.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal, o se da&ntilde;e el cord&oacute;n.<br />
Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"rojo, blanco, plateado, tornasolado, Collar de vidrio, collar, largo, Glassbeads";;;
sense;Sense;Collares;;;;;;;375.00;;0.00;0.00;0.00;0.00;1;CL3-002;;SI;NO;"<p>Collar de 3 cuentas de vidrio macizas, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + cord&oacute;n de gamuza + fornituras. Regulable.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal, o se da&ntilde;e el cord&oacute;n.<br />
Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"verde, plateado, turquesa, Collar de vidrio, collar, largo, azul, Glassbeads";;;
cream-line;"Cream Line";Anillos;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;RG-005;;SI;NO;"<p>Anillo hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
&nbsp;</p>

<p>Esta pieza fue dise&ntilde;ada y creada artesanalmente a partir de varillas de vidrio de diferentes colores, con soplete y mucho amor, por&nbsp;Marilina Rozenberg.<br />
Materiales: Vidrio.</p>
";"Accesorios de vidrio, Joyas de vidrio, Lampwork, anillo, crema, negro";;;
aro-colgante-03;"Aro Colgante 03";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AB-003;;SI;NO;"<p>Aros de vidrio y plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"bolas pequenas de vidrio, plata, Glassbeads, celeste, verde";;;
drop-02;"Drop 02";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AG-002;;SI;NO;"<p>Aros de vidrio y plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"gotas, vidrio, plata, Glassbeads, turquesa, verde";;;
argolla-dona-01;"Argolla Dona 01";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AA-001;;SI;NO;"<p>Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"Donas de vidrio, argolla, plata, Glassbeads, negro, rosa, blanco";;;
reptile;Reptile;Anillos;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;RG-006;;SI;NO;"<p>Anillo hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
&nbsp;</p>

<p>Esta pieza fue dise&ntilde;ada y creada artesanalmente a partir de varillas de vidrio de diferentes colores, con soplete y mucho amor, por&nbsp;Marilina Rozenberg.<br />
Materiales: Vidrio.</p>
";"Accesorios de vidrio, Joyas de vidrio, Lampwork, anillo, verde, naranja, celeste";;;
aro-colgante-04;"Aro Colgante 04";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AB-004;;SI;NO;"<p>Aros de vidrio y plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"bolas pequenas de vidrio, plata, Glassbeads, blanco, rojo";;;
drop-03;"Drop 03";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AG-003;;SI;NO;"<p>Aros de vidrio y plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"gotas, vidrio, plata, Glassbeads, negro, rojo";;;
argolla-dona-02;"Argolla Dona 02";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;0;AA-002;;SI;NO;"<p>Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"Donas de vidrio, argolla, plata, Glassbeads, rosa, naranja";;;
punky;Punky;Anillos;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;RG-007;;SI;NO;"<p>Anillo hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
&nbsp;</p>

<p>Esta pieza fue dise&ntilde;ada y creada artesanalmente a partir de varillas de vidrio de diferentes colores, con soplete y mucho amor, por&nbsp;Marilina Rozenberg.<br />
Materiales: Vidrio.</p>
";"Accesorios de vidrio, Joyas de vidrio, Lampwork, anillo, celeste, plateado";;;
aro-colgante-5;"Aro Colgante 05";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AB-005;;SI;NO;"<p>Aros de vidrio y plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"bolas pequenas de vidrio, plata, Glassbeads, negro, celeste, verde";;;
drop-04;"Drop 04";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AG-004;;SI;NO;"<p>Aros de vidrio y plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"gotas, vidrio, plata, Glassbeads, violeta";;;
argolla-dona-03;"Argolla Dona 03";Aros;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;AA-003;;SI;NO;"<p>Aros de vidrio y argollas de plata 925, hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
<br />
Materiales: Vidrio y plata 925.</p>
";"Donas de vidrio, argolla, plata, Glassbeads, celeste, plateado";;;
rosylila;Rosylila;Anillos;;;;;;;350.00;;0.20;0.00;0.00;0.00;1;RG-008;;SI;NO;"<p>Anillo hecho&nbsp;con la milenaria t&eacute;cnica de lampwork (vidrio trabajado con soplete).<br />
&nbsp;</p>

<p>Esta pieza fue dise&ntilde;ada y creada artesanalmente a partir de varillas de vidrio de diferentes colores, con soplete y mucho amor, por&nbsp;Marilina Rozenberg.<br />
Materiales: Vidrio.</p>
";"Accesorios de vidrio, Joyas de vidrio, Lampwork, anillo, rosa, blanco, lila, violeta";;;
